Gender	AgeInYears	Education	SES	Race
Female	30	HS	Category 1	White
Female	30	PHS	Category 2	White
Female	20	PHS	Category 2	Other
Female	30	PHS	Category 1	White
Female	25	PHS	Category 3	Hispanic
Female	20	HS	Category 3	White
Female	20	PHS	Category 2	White
Female	20	HS	Category 3	Black
Female	30	PHS	Category 3	White
Female	15	NHS	Category 1	White
Female	25	HS	Category 2	White
Female	20	PHS	Category 4	White
Female	30	PHS	Category 3	White
Female	30	PHS	Category 2	Black
Female	30	HS	Category 1	Black
Female	30	NHS	Category 2	Black
Female	30	HS	Category 2	White
Female	30	PHS	Category 3	Black
Female	15	NHS	Category 2	White
Female	20	HS	Category 1	Black
Female	30	HS	Category 1	Hispanic
Female	30	HS	Category 2	Black
Female	15	HS	Category 4	White
Female	15	PHS	Category 2	Black
Female	15	NHS	Category 1	Hispanic
Female	30	PHS	Category 4	White
Female	30	HS	Category 3	Black
Female	20	PHS	Category 3	White
Female	30	PHS	Category 3	Hispanic
Female	25	PHS	Category 4	Other
Female	15	NHS	Category 1	Hispanic
Female	15	HS	Category 3	Hispanic
Female	25	HS	Category 1	Hispanic
Female	15	NHS	Category 3	Hispanic
Female	20	NHS	Category 3	Hispanic
Female	25	PHS	Category 2	Black
Female	25	PHS	Category 4	Hispanic
Female	25	PHS	Category 4	Black
Female	25	NHS	Category 2	Black
Female	15	HS	Category 1	Hispanic
Female	30	PHS	Category 2	White
Female	30	PHS	Category 3	Hispanic
Female	30	PHS	Category 2	White
Female	30	PHS	Category 3	White
Female	30	PHS	Category 2	White
Female	15	NHS	Category 4	White
Female	30	PHS	Category 2	Black
Female	20	PHS	Category 4	White
Female	25	NHS	Category 2	Black
Female	25	PHS	Category 2	Hispanic
Female	20	PHS	Category 3	White
Female	30	PHS	Category 2	White
Female	15	HS	Category 3	White
Female	20	HS	Category 1	Hispanic
Female	25	PHS	Category 2	White
Female	20	HS	Category 4	Hispanic
Female	30	PHS	Category 3	White
Female	25	HS	Category 1	White
Female	25	PHS	Category 2	White
Female	30	PHS	Category 2	White
Female	25	PHS	Category 4	White
Female	25	NHS	Category 2	Black
Female	25	PHS	Category 2	Black
Female	25	PHS	Category 2	White
Female	30	PHS	Category 3	Black
Female	20	PHS	Category 3	Black
Female	30	HS	Category 1	Black
Female	25	NHS	Category 1	Hispanic
Female	30	NHS	Category 2	Black
Female	30	HS	Category 4	Black
Female	30	PHS	Category 1	Hispanic
Female	30	PHS	Category 1	White
Female	30	PHS	Category 2	White
Female	30	PHS	Category 2	Other
Female	30	PHS	Category 1	White
Female	25	HS	Category 2	Black
Female	25	HS	Category 2	Black
Female	30	HS	Category 4	White
Female	25	PHS	Category 4	White
Female	30	PHS	Category 4	Hispanic
Female	20	PHS	Category 4	White
Female	25	PHS	Category 2	White
Female	30	HS	Category 3	White
Female	30	PHS	Category 3	Black
Female	25	PHS	Category 2	White
Female	25	NHS	Category 1	Hispanic
Female	25	NHS	Category 2	White
Female	30	NHS	Category 1	Hispanic
Female	25	NHS	Category 1	Hispanic
Female	25	NHS	Category 2	White
Female	30	PHS	Category 3	Hispanic
Female	20	HS	Category 3	Other
Female	30	HS	Category 2	Black
Female	25	PHS	Category 4	Black
Female	30	PHS	Category 2	White
Female	25	PHS	Category 4	Other
Female	15	HS	Category 4	White
Female	30	NHS	Category 2	White
Female	30	PHS	Category 3	White
Female	15	NHS	Category 2	White
Female	20	PHS	Category 3	White
Female	15	HS	Category 2	White
Female	30	NHS	Category 3	White
Female	30	HS	Category 2	White
Female	30	NHS	Category 2	White
Female	20	NHS	Category 1	Hispanic
Female	20	PHS	Category 4	Other
Female	20	NHS	Category 1	White
Female	20	PHS	Category 1	Other
Female	30	HS	Category 1	Black
Female	15	PHS	Category 3	White
Female	25	PHS	Category 1	Other
Female	20	PHS	Category 2	White
Female	20	HS	Category 2	White
Female	30	PHS	Category 4	White
Female	30	PHS	Category 2	White
Female	30	PHS	Category 2	White
Female	15	NHS	Category 2	White
Female	25	HS	Category 3	Black
Female	30	PHS	Category 2	White
Female	30	HS	Category 1	Black
Female	20	HS	Category 1	Hispanic
Female	15	PHS	Category 4	White
Female	20	NHS	Category 2	White
Female	25	PHS	Category 3	White
Female	15	HS	Category 2	Black
Female	20	NHS	Category 1	Hispanic
Female	25	HS	Category 3	White
Female	25	HS	Category 1	Other
Female	15	HS	Category 2	White
Female	30	PHS	Category 4	White
Female	15	NHS	Category 2	White
Female	30	PHS	Category 3	Other
Female	30	PHS	Category 2	Black
Female	30	PHS	Category 1	Hispanic
Female	25	HS	Category 2	Black
Female	25	PHS	Category 2	White
Female	30	HS	Category 1	Black
Female	15	NHS	Category 3	Hispanic
Female	30	NHS	Category 1	White
Female	25	PHS	Category 4	White
Female	30	PHS	Category 3	White
Female	20	HS	Category 3	White
Female	30	PHS	Category 2	White
Female	20	PHS	Category 3	White
Female	30	PHS	Category 2	Black
Female	25	HS	Category 1	Hispanic
Female	25	NHS	Category 2	Hispanic
Female	30	NHS	Category 2	Black
Female	30	PHS	Category 3	Black
Female	30	PHS	Category 4	Black
Female	20	PHS	Category 3	Other
Female	30	PHS	Category 2	White
Female	30	PHS	Category 2	White
Female	30	HS	Category 1	Hispanic
Female	30	PHS	Category 3	White
Female	20	HS	Category 2	Hispanic
Female	30	NHS	Category 2	White
Female	30	PHS	Category 2	Black
Female	30	PHS	Category 2	White
Female	30	PHS	Category 3	White
Female	30	PHS	Category 3	White
Female	25	PHS	Category 3	White
Female	25	PHS	Category 2	White
Female	20	HS	Category 1	Black
Female	20	PHS	Category 2	White
Female	15	NHS	Category 1	White
Female	30	PHS	Category 2	White
Female	15	NHS	Category 4	Black
Female	30	PHS	Category 4	White
Female	30	PHS	Category 2	Hispanic
Female	30	HS	Category 2	Black
Female	15	NHS	Category 2	Hispanic
Female	20	PHS	Category 3	White
Female	15	HS	Category 3	White
Female	30	PHS	Category 2	Black
Female	20	PHS	Category 2	White
Female	30	HS	Category 2	White
Female	30	HS	Category 4	Hispanic
Female	20	HS	Category 3	White
Female	30	PHS	Category 4	White
Female	25	PHS	Category 4	White
