Gender	AgeInYears	Education	Race	SES	MaritalStatus
Female	37	HS	White	Category 1	Married
Female	35	PHS	White	Category 2	Married
Female	23	PHS	Other	Category 2	Married
Female	33	PHS	White	Category 1	Married
Female	28	PHS	Hispanic	Category 3	Divorced
Female	23	HS	White	Category 3	Divorced
Female	20	PHS	White	Category 2	Single
Female	20	HS	Black	Category 3	Single
Female	35	PHS	White	Category 3	Married
Female	18	NHS	White	Category 1	Single
Female	26	HS	White	Category 2	Single
Female	20	PHS	White	Category 4	Single
Female	37	PHS	White	Category 3	Married
Female	30	PHS	Black	Category 2	Single
Female	44	HS	Black	Category 1	Married
Female	39	NHS	Black	Category 2	Single
Female	38	HS	White	Category 2	Married
Female	32	PHS	Black	Category 3	Single
Female	16	NHS	White	Category 2	Single
Female	20	HS	Black	Category 1	Married
Female	40	HS	Hispanic	Category 1	Married
Female	33	HS	Black	Category 2	Single
Female	18	HS	White	Category 4	Single
Female	19	PHS	Black	Category 2	Single
Female	17	NHS	Hispanic	Category 1	Single
Female	43	PHS	White	Category 4	Married
Female	40	HS	Black	Category 3	Divorced
Female	21	PHS	White	Category 3	Single
Female	43	PHS	Hispanic	Category 3	Divorced
Female	25	PHS	Other	Category 4	Married
Female	18	NHS	Hispanic	Category 1	Single
Female	18	HS	Hispanic	Category 3	Single
Female	29	HS	Hispanic	Category 1	Married
Female	15	NHS	Hispanic	Category 3	Single
Female	20	NHS	Hispanic	Category 3	Single
Female	27	PHS	Black	Category 2	Single
Female	28	PHS	Hispanic	Category 4	Married
Female	25	PHS	Black	Category 4	Married
Female	25	NHS	Black	Category 2	Married
Female	18	HS	Hispanic	Category 1	Married
Female	34	PHS	White	Category 2	Married
Female	39	PHS	Hispanic	Category 3	Single
Female	40	PHS	White	Category 2	Married
Female	41	PHS	White	Category 3	Single
Female	40	PHS	White	Category 2	Married
Female	15	NHS	White	Category 4	Single
Female	37	PHS	Black	Category 2	Divorced
Female	23	PHS	White	Category 4	Single
Female	25	NHS	Black	Category 2	Single
Female	29	PHS	Hispanic	Category 2	Single
Female	23	PHS	White	Category 3	Single
Female	39	PHS	White	Category 2	Divorced
Female	19	HS	White	Category 3	Single
Female	23	HS	Hispanic	Category 1	Single
Female	29	PHS	White	Category 2	Divorced
Female	23	HS	Hispanic	Category 4	Single
Female	40	PHS	White	Category 3	Married
Female	27	HS	White	Category 1	Single
Female	28	PHS	White	Category 2	Single
Female	43	PHS	White	Category 2	Divorced
Female	28	PHS	White	Category 4	Married
Female	27	NHS	Black	Category 2	Single
Female	25	PHS	Black	Category 2	Married
Female	26	PHS	White	Category 2	Married
Female	36	PHS	Black	Category 3	Married
Female	21	PHS	Black	Category 3	Single
Female	38	HS	Black	Category 1	Single
Female	27	NHS	Hispanic	Category 1	Married
Female	35	NHS	Black	Category 2	Single
Female	40	HS	Black	Category 4	Married
Female	36	PHS	Hispanic	Category 1	Married
Female	41	PHS	White	Category 1	Single
Female	39	PHS	White	Category 2	Married
Female	33	PHS	Other	Category 2	Married
Female	30	PHS	White	Category 1	Married
Female	27	HS	Black	Category 2	Single
Female	27	HS	Black	Category 2	Single
Female	37	HS	White	Category 4	Divorced
Female	25	PHS	White	Category 4	Married
Female	32	PHS	Hispanic	Category 4	Married
Female	24	PHS	White	Category 4	Single
Female	28	PHS	White	Category 2	Single
Female	37	HS	White	Category 3	Divorced
