ID	SpouseID	Gender	MaritalStatus	AgeInYears	Education	SES	Race
1941	0	Male	Single	21	PHS	Category 4	Other
2236	0	Male	Single	21	PHS	Category 4	White
7196	0	Male	Single	41	PHS	Category 3	White
2287	0	Male	Single	21	PHS	Category 4	White
8963	0	Male	Single	35	HS	Category 1	White
5923	0	Male	Single	30	PHS	Category 1	Hispanic
3459	0	Male	Single	25	PHS	Category 4	Other
1901	0	Male	Single	22	PHS	Category 1	Other
562	0	Male	Single	17	NHS	Category 3	White
3940	0	Male	Single	27	PHS	Category 2	White
2509	0	Male	Single	23	PHS	Category 3	White
6319	0	Male	Single	36	PHS	Category 3	White
2221	0	Male	Single	22	PHS	Category 2	White
9281	0	Male	Single	35	HS	Category 3	White
7405	0	Male	Single	30	PHS	Category 2	White
7701	0	Male	Single	41	PHS	Category 3	White
5102	0	Male	Single	42	NHS	Category 3	Hispanic
1538	0	Male	Single	18	HS	Category 2	White
8926	0	Male	Single	39	HS	Category 1	White
2746	0	Male	Single	22	PHS	Category 2	White
2936	0	Male	Single	20	HS	Category 1	Hispanic
8211	0	Male	Single	44	PHS	Category 4	White
862	0	Male	Single	15	NHS	Category 2	White
6032	0	Male	Single	39	PHS	Category 4	Hispanic
2895	0	Male	Single	20	HS	Category 1	Hispanic
614	0	Male	Single	17	NHS	Category 3	White
6091	0	Male	Single	32	PHS	Category 2	Hispanic
374	0	Male	Single	15	NHS	Category 2	Hispanic
8615	0	Male	Single	37	HS	Category 3	Black
8147	0	Male	Single	43	PHS	Category 2	White
891	0	Male	Single	17	NHS	Category 2	White
4015	0	Male	Single	26	PHS	Category 2	White
1990	0	Male	Single	20	PHS	Category 3	Black
3823	0	Male	Single	25	PHS	Category 4	White
1351	0	Male	Single	18	HS	Category 4	Black
3081	0	Male	Single	22	HS	Category 2	White
9726	0	Male	Single	31	HS	Category 3	White
1357	0	Male	Single	19	HS	Category 1	Hispanic
1388	0	Male	Single	19	HS	Category 4	Hispanic
1706	0	Male	Single	20	NHS	Category 1	Hispanic
8672	0	Male	Single	39	HS	Category 1	Hispanic
4006	0	Male	Single	28	PHS	Category 4	White
4666	0	Male	Single	26	HS	Category 2	White
5333	0	Male	Single	36	NHS	Category 2	White
2593	0	Male	Single	22	PHS	Category 3	White
989	0	Male	Single	17	NHS	Category 4	White
6423	0	Male	Single	41	PHS	Category 2	White
2262	0	Male	Single	20	PHS	Category 4	White
8507	0	Male	Single	34	HS	Category 2	Black
1191	0	Male	Single	19	PHS	Category 1	White
9355	0	Male	Single	37	HS	Category 3	White
1622	0	Male	Single	19	HS	Category 2	White
3897	0	Male	Single	25	PHS	Category 4	White
6247	0	Male	Single	34	PHS	Category 1	White
5186	0	Male	Single	44	NHS	Category 1	White
9056	0	Male	Single	31	HS	Category 1	White
7979	0	Male	Single	34	PHS	Category 3	White
3302	0	Male	Single	28	NHS	Category 1	Hispanic
6100	0	Male	Single	32	PHS	Category 1	White
747	0	Male	Single	16	NHS	Category 3	White
6684	0	Male	Single	31	PHS	Category 4	White
193	0	Male	Single	16	NHS	Category 3	Black
1205	0	Male	Single	19	PHS	Category 3	White
56	0	Male	Single	18	NHS	Category 4	Other
1035	0	Male	Single	17	NHS	Category 2	White
1151	0	Male	Single	19	PHS	Category 4	Other
7234	0	Male	Single	41	PHS	Category 2	White
733	0	Male	Single	17	NHS	Category 2	White
1322	0	Male	Single	18	HS	Category 4	Black
5111	0	Male	Single	38	NHS	Category 3	Hispanic
188	0	Male	Single	17	NHS	Category 3	Black
1259	0	Male	Single	19	PHS	Category 3	White
3637	0	Male	Single	27	PHS	Category 2	Hispanic
711	0	Male	Single	16	NHS	Category 2	White
8770	0	Male	Single	31	HS	Category 1	Hispanic
1515	0	Male	Single	19	HS	Category 4	White
3752	0	Male	Single	27	PHS	Category 4	White
1354	0	Male	Single	18	HS	Category 2	Black
1775	0	Male	Single	22	NHS	Category 1	Hispanic
7231	0	Male	Single	41	PHS	Category 2	White
2369	0	Male	Single	21	PHS	Category 4	White
5924	0	Male	Single	40	PHS	Category 1	Hispanic
1036	0	Male	Single	16	NHS	Category 2	White
3584	0	Male	Single	28	PHS	Category 2	Black
2618	0	Male	Single	21	PHS	Category 4	White
7182	0	Male	Single	41	PHS	Category 2	White
8059	0	Male	Single	43	PHS	Category 3	White
5121	0	Male	Single	35	NHS	Category 1	White
1397	0	Male	Single	18	HS	Category 4	Hispanic
2516	0	Male	Single	23	PHS	Category 4	White
7673	0	Male	Single	37	PHS	Category 2	White
179	0	Male	Single	18	NHS	Category 3	Black
4593	0	Male	Single	25	HS	Category 2	White
9235	0	Male	Single	41	HS	Category 2	White
4907	0	Male	Single	31	NHS	Category 1	Hispanic
4782	0	Male	Single	42	NHS	Category 1	Black
2834	0	Male	Single	22	HS	Category 2	Black
8902	0	Male	Single	33	HS	Category 1	White
1478	0	Male	Single	18	HS	Category 3	White
3468	0	Male	Single	25	PHS	Category 2	Other
2568	0	Male	Single	22	PHS	Category 4	White
5833	0	Male	Single	34	PHS	Category 2	Black
5815	0	Male	Single	30	PHS	Category 4	Black
3663	0	Male	Single	28	PHS	Category 2	Hispanic
5045	0	Male	Single	39	NHS	Category 1	Hispanic
7554	0	Male	Single	37	PHS	Category 2	White
195	0	Male	Single	17	NHS	Category 3	Black
1115	0	Male	Single	17	NHS	Category 4	White
4345	0	Male	Single	28	HS	Category 2	Black
9463	0	Male	Single	37	HS	Category 2	White
1181	0	Male	Single	18	PHS	Category 4	Hispanic
169	0	Male	Single	16	NHS	Category 2	Black
9708	0	Male	Single	40	HS	Category 2	White
1139	0	Male	Single	15	NHS	Category 2	White
6310	0	Male	Single	32	PHS	Category 4	White
4114	0	Male	Single	25	PHS	Category 4	White
5288	0	Male	Single	33	NHS	Category 2	White
3601	0	Male	Single	26	PHS	Category 1	Hispanic
3819	0	Male	Single	26	PHS	Category 3	White
6614	0	Male	Single	41	PHS	Category 4	White
1598	0	Male	Single	18	HS	Category 3	White
2549	0	Male	Single	22	PHS	Category 2	White
2638	0	Male	Single	21	PHS	Category 4	White
631	0	Male	Single	15	NHS	Category 2	White
7906	0	Male	Single	44	PHS	Category 2	White
3175	0	Male	Single	23	HS	Category 2	White
3253	0	Male	Single	27	NHS	Category 2	Black
2030	0	Male	Single	21	PHS	Category 4	Black
1407	0	Male	Single	19	HS	Category 3	Hispanic
2944	0	Male	Single	24	HS	Category 2	Hispanic
5151	0	Male	Single	30	NHS	Category 1	White
8728	0	Male	Single	42	HS	Category 1	Hispanic
681	0	Male	Single	17	NHS	Category 4	White
4784	0	Male	Single	43	NHS	Category 1	Black
994	0	Male	Single	15	NHS	Category 3	White
3388	0	Male	Single	26	NHS	Category 1	White
1231	0	Male	Single	19	PHS	Category 4	White
63	0	Male	Single	15	NHS	Category 2	Other
2028	0	Male	Single	22	PHS	Category 2	Black
1180	0	Male	Single	19	PHS	Category 3	Hispanic
3881	0	Male	Single	27	PHS	Category 3	White
1933	0	Male	Single	20	PHS	Category 4	Other
5300	0	Male	Single	31	NHS	Category 3	White
2807	0	Male	Single	22	HS	Category 1	Black
232	0	Male	Single	17	NHS	Category 2	Black
1864	0	Male	Single	23	NHS	Category 2	White
1726	0	Male	Single	21	NHS	Category 1	Hispanic
3059	0	Male	Single	21	HS	Category 3	White
6927	0	Male	Single	44	PHS	Category 4	White
8432	0	Male	Single	42	HS	Category 1	Black
3223	0	Male	Single	25	NHS	Category 1	Other
955	0	Male	Single	15	NHS	Category 3	White
1208	0	Male	Single	19	PHS	Category 2	White
4353	0	Male	Single	27	HS	Category 2	Black
1089	0	Male	Single	17	NHS	Category 2	White
2076	0	Male	Single	22	PHS	Category 1	Hispanic
806	0	Male	Single	16	NHS	Category 3	White
2229	0	Male	Single	20	PHS	Category 3	White
5965	0	Male	Single	30	PHS	Category 1	Hispanic
1459	0	Male	Single	18	HS	Category 3	White
150	0	Male	Single	17	NHS	Category 3	Black
3020	0	Male	Single	22	HS	Category 3	White
6249	0	Male	Single	43	PHS	Category 1	White
5332	0	Male	Single	38	NHS	Category 2	White
940	0	Male	Single	15	NHS	Category 4	White
4721	0	Male	Single	27	HS	Category 2	White
60	0	Male	Single	16	NHS	Category 3	Other
2620	0	Male	Single	23	PHS	Category 4	White
7213	0	Male	Single	31	PHS	Category 4	White
592	0	Male	Single	15	NHS	Category 2	White
3072	0	Male	Single	20	HS	Category 4	White
3200	0	Male	Single	22	HS	Category 2	White
4904	0	Male	Single	30	NHS	Category 1	Hispanic
2174	0	Male	Single	23	PHS	Category 3	White
1317	0	Male	Single	19	HS	Category 2	Black
2102	0	Male	Single	22	PHS	Category 3	Hispanic
2127	0	Male	Single	24	PHS	Category 2	Hispanic
716	0	Male	Single	18	NHS	Category 3	White
2605	0	Male	Single	20	PHS	Category 2	White
4090	0	Male	Single	27	PHS	Category 3	White
3641	0	Male	Single	26	PHS	Category 3	Hispanic
7062	0	Male	Single	40	PHS	Category 3	White
8865	0	Male	Single	38	HS	Category 1	White
7610	0	Male	Single	35	PHS	Category 2	White
919	0	Male	Single	16	NHS	Category 2	White
4360	0	Male	Single	27	HS	Category 2	Black
338	0	Male	Single	15	NHS	Category 3	Hispanic
918	0	Male	Single	17	NHS	Category 4	White
8588	0	Male	Single	34	HS	Category 2	Black
9094	0	Male	Single	39	HS	Category 1	White
107	0	Male	Single	16	NHS	Category 2	Black
1912	0	Male	Single	22	PHS	Category 4	Other
4247	0	Male	Single	28	PHS	Category 2	White
6745	0	Male	Single	38	PHS	Category 2	White
1410	0	Male	Single	19	HS	Category 3	Hispanic
651	0	Male	Single	19	NHS	Category 2	White
1766	0	Male	Single	21	NHS	Category 1	Hispanic
7039	0	Male	Single	34	PHS	Category 4	White
1066	0	Male	Single	16	NHS	Category 4	White
3717	0	Male	Single	26	PHS	Category 2	White
2738	0	Male	Single	22	PHS	Category 2	White
2258	0	Male	Single	22	PHS	Category 2	White
2020	0	Male	Single	21	PHS	Category 3	Black
137	0	Male	Single	16	NHS	Category 2	Black
4407	0	Male	Single	28	HS	Category 1	Hispanic
4105	0	Male	Single	29	PHS	Category 3	White
696	0	Male	Single	16	NHS	Category 3	White
1398	0	Male	Single	18	HS	Category 2	Hispanic
5988	0	Male	Single	34	PHS	Category 4	Hispanic
8648	0	Male	Single	36	HS	Category 1	Hispanic
5911	0	Male	Single	44	PHS	Category 1	Hispanic
4067	0	Male	Single	29	PHS	Category 3	White
2061	0	Male	Single	22	PHS	Category 4	Black
1487	0	Male	Single	18	HS	Category 3	White
5697	0	Male	Single	42	PHS	Category 2	Black
1020	0	Male	Single	16	NHS	Category 3	White
7420	0	Male	Single	41	PHS	Category 4	White
136	0	Male	Single	18	NHS	Category 2	Black
3131	0	Male	Single	21	HS	Category 3	White
405	0	Male	Single	17	NHS	Category 2	Hispanic
55	0	Male	Single	15	NHS	Category 2	Other
2436	0	Male	Single	24	PHS	Category 4	White
927	0	Male	Single	17	NHS	Category 2	White
9749	0	Male	Single	41	HS	Category 2	White
1638	0	Male	Single	19	HS	Category 2	White
1882	0	Male	Single	22	NHS	Category 2	White
5743	0	Male	Single	37	PHS	Category 2	Black
6246	0	Male	Single	38	PHS	Category 1	White
3848	0	Male	Single	29	PHS	Category 4	White
549	0	Male	Single	16	NHS	Category 4	White
8383	0	Male	Single	32	HS	Category 2	Other
8328	0	Male	Single	44	PHS	Category 4	White
4391	0	Male	Single	28	HS	Category 1	Hispanic
1803	0	Male	Single	21	NHS	Category 2	Hispanic
3317	0	Male	Single	26	NHS	Category 1	Hispanic
638	0	Male	Single	16	NHS	Category 2	White
5128	0	Male	Single	32	NHS	Category 1	White
133	0	Male	Single	16	NHS	Category 3	Black
3074	0	Male	Single	23	HS	Category 2	White
4434	0	Male	Single	29	HS	Category 2	Hispanic
253	0	Male	Single	17	NHS	Category 1	Hispanic
79	0	Male	Single	15	NHS	Category 1	Black
2345	0	Male	Single	24	PHS	Category 3	White
131	0	Male	Single	18	NHS	Category 2	Black
1101	0	Male	Single	17	NHS	Category 4	White
465	0	Male	Single	16	NHS	Category 1	White
494	0	Male	Single	16	NHS	Category 3	White
2298	0	Male	Single	20	PHS	Category 2	White
3686	0	Male	Single	26	PHS	Category 2	Hispanic
1193	0	Male	Single	19	PHS	Category 3	White
867	0	Male	Single	15	NHS	Category 4	White
505	0	Male	Single	17	NHS	Category 4	White
1386	0	Male	Single	18	HS	Category 4	Hispanic
1526	0	Male	Single	18	HS	Category 3	White
778	0	Male	Single	17	NHS	Category 4	White
5821	0	Male	Single	43	PHS	Category 2	Black
1416	0	Male	Single	18	HS	Category 4	Hispanic
1482	0	Male	Single	17	HS	Category 4	White
706	0	Male	Single	16	NHS	Category 4	White
5706	0	Male	Single	34	PHS	Category 2	Black
3062	0	Male	Single	22	HS	Category 4	White
1701	0	Male	Single	23	NHS	Category 1	Hispanic
5576	0	Male	Single	40	PHS	Category 1	Black
1134	0	Male	Single	17	NHS	Category 2	White
2443	0	Male	Single	21	PHS	Category 4	White
1494	0	Male	Single	19	HS	Category 4	White
7251	0	Male	Single	31	PHS	Category 4	White
557	0	Male	Single	15	NHS	Category 3	White
8347	0	Male	Single	40	HS	Category 1	Other
1548	0	Male	Single	19	HS	Category 3	White
924	0	Male	Single	15	NHS	Category 2	White
5312	0	Male	Single	31	NHS	Category 2	White
7502	0	Male	Single	32	PHS	Category 3	White
3627	0	Male	Single	25	PHS	Category 4	Hispanic
8435	0	Male	Single	39	HS	Category 1	Black
1276	0	Male	Single	19	PHS	Category 4	White
3550	0	Male	Single	25	PHS	Category 3	Black
1380	0	Male	Single	19	HS	Category 1	Hispanic
2981	0	Male	Single	22	HS	Category 2	Hispanic
2372	0	Male	Single	21	PHS	Category 4	White
1976	0	Male	Single	20	PHS	Category 2	Black
1699	0	Male	Single	21	NHS	Category 1	Hispanic
1365	0	Male	Single	19	HS	Category 1	Hispanic
1636	0	Male	Single	19	HS	Category 2	White
7316	0	Male	Single	33	PHS	Category 4	White
407	0	Male	Single	15	NHS	Category 2	Hispanic
8895	0	Male	Single	44	HS	Category 1	White
9872	0	Male	Single	40	HS	Category 2	White
968	0	Male	Single	17	NHS	Category 2	White
6182	0	Male	Single	37	PHS	Category 1	White
4284	0	Male	Single	29	HS	Category 2	Other
7286	0	Male	Single	39	PHS	Category 2	White
630	0	Male	Single	17	NHS	Category 2	White
5535	0	Male	Single	39	PHS	Category 2	Other
2812	0	Male	Single	24	HS	Category 1	Black
8904	0	Male	Single	37	HS	Category 1	White
2904	0	Male	Single	24	HS	Category 1	Hispanic
2725	0	Male	Single	21	PHS	Category 4	White
3241	0	Male	Single	26	NHS	Category 3	Black
3621	0	Male	Single	26	PHS	Category 1	Hispanic
6721	0	Male	Single	43	PHS	Category 2	White
1541	0	Male	Single	18	HS	Category 4	White
1878	0	Male	Single	20	NHS	Category 2	White
2980	0	Male	Single	24	HS	Category 3	Hispanic
8001	0	Male	Single	39	PHS	Category 2	White
8282	0	Male	Single	44	PHS	Category 2	White
2043	0	Male	Single	24	PHS	Category 4	Black
3813	0	Male	Single	25	PHS	Category 2	White
6978	0	Male	Single	37	PHS	Category 3	White
2484	0	Male	Single	20	PHS	Category 4	White
155	0	Male	Single	17	NHS	Category 4	Black
1071	0	Male	Single	17	NHS	Category 2	White
1590	0	Male	Single	19	HS	Category 3	White
9108	0	Male	Single	44	HS	Category 1	White
201	0	Male	Single	16	NHS	Category 4	Black
5266	0	Male	Single	31	NHS	Category 2	White
6024	0	Male	Single	38	PHS	Category 2	Hispanic
4930	0	Male	Single	30	NHS	Category 1	Hispanic
9833	0	Male	Single	35	HS	Category 2	White
2627	0	Male	Single	21	PHS	Category 4	White
7854	0	Male	Single	41	PHS	Category 2	White
3592	0	Male	Single	25	PHS	Category 1	Hispanic
4130	0	Male	Single	28	PHS	Category 4	White
575	0	Male	Single	18	NHS	Category 4	White
730	0	Male	Single	15	NHS	Category 3	White
2915	0	Male	Single	23	HS	Category 1	Hispanic
3933	0	Male	Single	28	PHS	Category 4	White
6892	0	Male	Single	33	PHS	Category 4	White
5566	0	Male	Single	34	PHS	Category 2	Other
314	0	Male	Single	16	NHS	Category 3	Hispanic
8962	0	Male	Single	33	HS	Category 1	White
5079	0	Male	Single	38	NHS	Category 4	Hispanic
731	0	Male	Single	15	NHS	Category 4	White
2334	0	Male	Single	24	PHS	Category 4	White
646	0	Male	Single	17	NHS	Category 2	White
744	0	Male	Single	18	NHS	Category 4	White
872	0	Male	Single	18	NHS	Category 4	White
2029	0	Male	Single	22	PHS	Category 4	Black
1362	0	Male	Single	19	HS	Category 1	Hispanic
1887	0	Male	Single	20	NHS	Category 4	White
3699	0	Male	Single	25	PHS	Category 1	White
7567	0	Male	Single	41	PHS	Category 2	White
5850	0	Male	Single	31	PHS	Category 3	Black
4287	0	Male	Single	29	HS	Category 2	Other
93	0	Male	Single	16	NHS	Category 1	Black
676	0	Male	Single	17	NHS	Category 4	White
5953	0	Male	Single	32	PHS	Category 1	Hispanic
272	0	Male	Single	17	NHS	Category 1	Hispanic
288	0	Male	Single	15	NHS	Category 1	Hispanic
4071	0	Male	Single	27	PHS	Category 3	White
1158	0	Male	Single	19	PHS	Category 3	Black
7003	0	Male	Single	43	PHS	Category 2	White
4214	0	Male	Single	25	PHS	Category 3	White
1019	0	Male	Single	15	NHS	Category 4	White
1448	0	Male	Single	18	HS	Category 4	White
8893	0	Male	Single	34	HS	Category 1	White
3028	0	Male	Single	20	HS	Category 2	White
7655	0	Male	Single	37	PHS	Category 2	White
6744	0	Male	Single	44	PHS	Category 3	White
1379	0	Male	Single	18	HS	Category 1	Hispanic
3880	0	Male	Single	29	PHS	Category 4	White
917	0	Male	Single	17	NHS	Category 4	White
9877	0	Male	Single	30	HS	Category 2	White
8500	0	Male	Single	32	HS	Category 4	Black
9630	0	Male	Single	44	HS	Category 2	White
2967	0	Male	Single	20	HS	Category 2	Hispanic
1776	0	Male	Single	21	NHS	Category 1	Hispanic
5122	0	Male	Single	31	NHS	Category 1	White
3416	0	Male	Single	27	NHS	Category 4	White
1242	0	Male	Single	19	PHS	Category 3	White
419	0	Male	Single	16	NHS	Category 1	White
689	0	Male	Single	15	NHS	Category 4	White
8281	0	Male	Single	34	PHS	Category 3	White
4336	0	Male	Single	27	HS	Category 4	Black
242	0	Male	Single	16	NHS	Category 1	Hispanic
2356	0	Male	Single	24	PHS	Category 4	White
5027	0	Male	Single	31	NHS	Category 1	Hispanic
2412	0	Male	Single	23	PHS	Category 3	White
8173	0	Male	Single	33	PHS	Category 2	White
6500	0	Male	Single	40	PHS	Category 2	White
3839	0	Male	Single	26	PHS	Category 2	White
1366	0	Male	Single	19	HS	Category 1	Hispanic
1862	0	Male	Single	22	NHS	Category 2	White
9365	0	Male	Single	31	HS	Category 4	White
4201	0	Male	Single	25	PHS	Category 2	White
4187	0	Male	Single	26	PHS	Category 3	White
8007	0	Male	Single	43	PHS	Category 2	White
8898	0	Male	Single	37	HS	Category 1	White
1045	0	Male	Single	16	NHS	Category 4	White
7689	0	Male	Single	31	PHS	Category 4	White
5316	0	Male	Single	38	NHS	Category 2	White
8184	0	Male	Single	32	PHS	Category 4	White
2640	0	Male	Single	20	PHS	Category 2	White
3446	0	Male	Single	28	PHS	Category 4	Other
8678	0	Male	Single	32	HS	Category 1	Hispanic
8267	0	Male	Single	41	PHS	Category 2	White
3098	0	Male	Single	21	HS	Category 2	White
4112	0	Male	Single	27	PHS	Category 2	White
7049	0	Male	Single	31	PHS	Category 4	White
3842	0	Male	Single	25	PHS	Category 3	White
8961	0	Male	Single	38	HS	Category 1	White
1621	0	Male	Single	18	HS	Category 3	White
