ID	SpouseID	Gender	MaritalStatus	AgeInYears	Education	SES	Race
267	1	Male	Married	28	NHS	Category 1	Hispanic
294	2	Male	Married	27	NHS	Category 1	Hispanic
269	3	Male	Married	27	NHS	Category 1	Hispanic
1110	4	Male	Married	41	NHS	Category 3	Hispanic
1100	5	Male	Married	37	NHS	Category 4	Hispanic
59	6	Male	Married	24	NHS	Category 1	White
56	7	Male	Married	22	NHS	Category 1	White
60	8	Male	Married	24	NHS	Category 1	White
63	9	Male	Married	22	NHS	Category 1	White
64	10	Male	Married	24	NHS	Category 1	White
12	11	Female	Married	18	NHS	Category 4	White
11	12	Male	Married	17	NHS	Category 2	White
14	13	Male	Married	18	HS	Category 2	Hispanic
13	14	Female	Married	18	HS	Category 2	Hispanic
16	15	Male	Married	18	HS	Category 2	White
15	16	Female	Married	19	HS	Category 4	White
23	17	Male	Married	24	NHS	Category 1	Hispanic
22	18	Female	Married	23	NHS	Category 1	Hispanic
25	19	Male	Married	21	NHS	Category 1	Hispanic
45	20	Male	Married	21	NHS	Category 1	Hispanic
35	21	Female	Married	24	NHS	Category 1	Hispanic
18	22	Male	Married	21	NHS	Category 1	Hispanic
17	23	Female	Married	20	NHS	Category 1	Hispanic
42	24	Female	Married	20	NHS	Category 1	Hispanic
19	25	Female	Married	23	NHS	Category 1	Hispanic
34	26	Female	Married	23	NHS	Category 1	Hispanic
29	27	Male	Married	20	NHS	Category 1	Hispanic
41	28	Female	Married	24	NHS	Category 1	Hispanic
27	29	Female	Married	23	NHS	Category 1	Hispanic
33	30	Female	Married	24	NHS	Category 1	Hispanic
50	31	Female	Married	23	NHS	Category 1	Hispanic
36	32	Female	Married	24	NHS	Category 1	Hispanic
30	33	Male	Married	21	NHS	Category 1	Hispanic
26	34	Male	Married	21	NHS	Category 1	Hispanic
21	35	Male	Married	22	NHS	Category 1	Hispanic
32	36	Male	Married	21	NHS	Category 1	Hispanic
44	37	Male	Married	23	NHS	Category 1	Hispanic
43	38	Male	Married	23	NHS	Category 1	Hispanic
46	39	Male	Married	22	NHS	Category 1	Hispanic
48	40	Female	Married	23	NHS	Category 1	Hispanic
28	41	Male	Married	20	NHS	Category 1	Hispanic
24	42	Male	Married	23	NHS	Category 1	Hispanic
38	43	Female	Married	20	NHS	Category 1	Hispanic
37	44	Female	Married	20	NHS	Category 1	Hispanic
20	45	Female	Married	24	NHS	Category 1	Hispanic
39	46	Female	Married	23	NHS	Category 1	Hispanic
49	47	Male	Married	21	NHS	Category 1	Hispanic
40	48	Male	Married	21	NHS	Category 1	Hispanic
47	49	Female	Married	23	NHS	Category 1	Hispanic
31	50	Male	Married	21	NHS	Category 1	Hispanic
1105	51	Male	Married	41	NHS	Category 3	Hispanic
1111	52	Male	Married	37	NHS	Category 4	Hispanic
1106	53	Male	Married	34	NHS	Category 3	Hispanic
1089	54	Male	Married	34	NHS	Category 3	Hispanic
313	55	Female	Married	29	NHS	Category 1	White
7	56	Female	Married	19	NHS	Category 1	White
65	57	Male	Married	24	NHS	Category 1	White
315	58	Female	Married	28	NHS	Category 1	White
6	59	Female	Married	18	NHS	Category 1	White
8	60	Female	Married	19	NHS	Category 1	White
316	61	Female	Married	26	NHS	Category 1	White
317	62	Female	Married	29	NHS	Category 1	White
9	63	Female	Married	18	NHS	Category 1	White
10	64	Female	Married	18	NHS	Category 1	White
57	65	Female	Married	23	NHS	Category 1	White
314	66	Female	Married	28	NHS	Category 1	White
72	67	Female	Married	24	NHS	Category 2	White
69	68	Female	Married	21	NHS	Category 3	White
68	69	Male	Married	24	NHS	Category 2	White
73	70	Female	Married	20	NHS	Category 2	White
331	71	Male	Married	27	NHS	Category 2	White
67	72	Male	Married	24	NHS	Category 2	White
70	73	Male	Married	24	NHS	Category 2	White
332	74	Male	Married	27	NHS	Category 4	White
339	75	Male	Married	26	NHS	Category 1	Black
