ID	SpouseID	Gender	MaritalStatus	AgeInYears	Education	SES	Race
3321005550	3321005521	Male	Married	28	PHS	Category 3	White
2321005880	2321006031	Male	Married	24	PHS	Category 4	White
4321013090	4321009441	Male	Married	37	PHS	Category 2	White
4331000790	4330000621	Male	Married	37	PHS	Category 2	Black
3331000790	3321000541	Male	Married	25	PHS	Category 3	Black
3110000590	3110000781	Male	Married	28	NHS	Category 1	Hispanic
4110002120	4110002251	Male	Married	40	NHS	Category 1	Hispanic
3221001730	3221000261	Male	Married	26	HS	Category 2	White
4331001690	4331000321	Male	Married	34	PHS	Category 2	Black
2221000210	2221000491	Male	Married	23	HS	Category 2	White
4321015490	4321016571	Male	Married	39	PHS	Category 4	White
4331000520	4331001501	Male	Married	44	PHS	Category 3	Black
4321013770	4321003551	Male	Married	33	PHS	Category 3	White
4321004210	4321013851	Male	Married	35	PHS	Category 2	White
3110000330	3110000121	Male	Married	26	NHS	Category 1	Hispanic
3221001000	3221000791	Male	Married	28	HS	Category 2	White
4320001170	4320002011	Male	Married	44	PHS	Category 1	White
3321002280	3321000201	Male	Married	27	PHS	Category 4	White
4211000070	4211000441	Male	Married	43	HS	Category 2	Hispanic
4221008110	4321003091	Male	Married	34	HS	Category 2	White
4321009220	4321015511	Male	Married	35	PHS	Category 3	White
4321009990	4321015951	Male	Married	42	PHS	Category 2	White
4121000110	4121001151	Male	Married	40	NHS	Category 2	White
3221000130	3221001701	Male	Married	28	HS	Category 2	White
3110000650	3110000131	Male	Married	26	NHS	Category 1	Hispanic
4221000320	4221004291	Male	Married	40	HS	Category 2	White
2221000600	2221000161	Male	Married	22	HS	Category 4	White
3110000430	3110000311	Male	Married	27	NHS	Category 1	Hispanic
4321013040	4321012261	Male	Married	37	PHS	Category 3	White
4321011020	4321006291	Male	Married	44	PHS	Category 4	White
4110000980	4110002001	Male	Married	30	NHS	Category 1	Hispanic
4221000110	4221003381	Male	Married	43	HS	Category 2	White
4210000730	4210000961	Male	Married	37	HS	Category 1	Hispanic
2221000560	2221001551	Male	Married	23	HS	Category 2	White
4221006330	4321015691	Male	Married	38	HS	Category 2	White
4321012600	4321015301	Male	Married	33	PHS	Category 4	White
4221008130	4221001411	Male	Married	38	HS	Category 2	White
4331001820	4331001331	Male	Married	30	PHS	Category 3	Black
4320001720	4320001501	Male	Married	35	PHS	Category 1	White
4321004140	4321002441	Male	Married	40	PHS	Category 2	White
4221002710	4221004901	Male	Married	44	HS	Category 2	White
4321018260	4321004931	Male	Married	41	PHS	Category 4	White
3321003940	3321000351	Male	Married	26	PHS	Category 3	White
4221003760	4221005941	Male	Married	32	HS	Category 2	White
3321001260	3321001111	Male	Married	25	PHS	Category 3	White
4331000540	4331000941	Male	Married	42	PHS	Category 3	Black
4221002130	4221005921	Male	Married	41	HS	Category 3	White
4221004440	4221007511	Male	Married	42	HS	Category 3	White
4231000680	4321000671	Male	Married	33	HS	Category 2	Black
4321014390	4321008281	Male	Married	31	PHS	Category 4	White
4220002440	4220001211	Male	Married	39	HS	Category 1	White
4321015340	4321019811	Male	Married	30	PHS	Category 3	White
4321008490	4321011151	Male	Married	36	PHS	Category 2	White
4111000270	4111000011	Male	Married	43	NHS	Category 2	Hispanic
4330000650	4330000091	Male	Married	43	PHS	Category 1	Black
4221006950	4221008041	Male	Married	36	HS	Category 2	White
4321008520	4321011641	Male	Married	40	PHS	Category 4	White
2331000460	2331000091	Male	Married	23	PHS	Category 4	Black
3321004900	3321005351	Male	Married	27	PHS	Category 2	White
4341000640	4341000681	Male	Married	37	PHS	Category 2	Other
4321014970	4321006101	Male	Married	31	PHS	Category 2	White
4110000500	4110001161	Male	Married	41	NHS	Category 1	Hispanic
2321005830	2321003341	Male	Married	22	PHS	Category 3	White
4321012100	4321013811	Male	Married	38	PHS	Category 2	White
4241000210	4241000151	Male	Married	35	HS	Category 2	Other
4220002760	4220001851	Male	Married	35	HS	Category 1	White
3311000100	3311000391	Male	Married	29	PHS	Category 3	Hispanic
4120000350	4120000151	Male	Married	42	NHS	Category 1	White
4221007900	4221001531	Male	Married	35	HS	Category 4	White
4140000050	4340000141	Male	Married	42	NHS	Category 1	Other
3221001170	3221002061	Male	Married	26	HS	Category 4	White
4321011520	4321011011	Male	Married	36	PHS	Category 3	White
4321011340	4321011771	Male	Married	33	PHS	Category 3	White
4110000280	4110001951	Male	Married	44	NHS	Category 1	Hispanic
4310000880	4310000131	Male	Married	31	PHS	Category 1	Hispanic
4321017850	4321005881	Male	Married	36	PHS	Category 2	White
3221000600	3221001191	Male	Married	27	HS	Category 3	White
3331000340	3331000201	Male	Married	27	PHS	Category 2	Black
4230000090	4230000071	Male	Married	42	HS	Category 1	Black
1121002020	1121004121	Male	Married	17	NHS	Category 2	White
3331000350	3331000551	Male	Married	29	PHS	Category 3	Black
4221001390	4221007181	Male	Married	40	HS	Category 2	White
4120001300	4220000351	Male	Married	44	NHS	Category 1	White
4120000650	4120000951	Male	Married	42	NHS	Category 1	White
4320001300	4320000411	Male	Married	35	PHS	Category 1	White
4210000100	4110000741	Male	Married	37	HS	Category 1	Hispanic
4321003700	4321005701	Male	Married	36	PHS	Category 4	White
3221000580	3221001311	Male	Married	29	HS	Category 2	White
4321011400	4321014111	Male	Married	31	PHS	Category 2	White
4221002010	4221001621	Male	Married	34	HS	Category 2	White
4331000200	4331001491	Male	Married	39	PHS	Category 2	Black
4210000460	4210000481	Male	Married	33	HS	Category 1	Hispanic
3321000720	3321003531	Male	Married	26	PHS	Category 2	White
2321004040	2321002431	Male	Married	24	PHS	Category 4	White
4221005690	4221003861	Male	Married	31	HS	Category 2	White
3321002290	3321004951	Male	Married	29	PHS	Category 2	White
4210001120	4210001321	Male	Married	37	HS	Category 1	Hispanic
2241000080	2241000161	Male	Married	24	HS	Category 3	Other
3311000570	3311000601	Male	Married	29	PHS	Category 4	Hispanic
2321003770	2321002581	Male	Married	24	PHS	Category 3	White
4321009450	4321007991	Male	Married	40	PHS	Category 2	White
3210000280	3210000431	Male	Married	28	HS	Category 1	Hispanic
2110000100	2110000251	Male	Married	21	NHS	Category 1	Hispanic
4221000290	4221003141	Male	Married	33	HS	Category 2	White
4221006190	4221002321	Male	Married	42	HS	Category 2	White
4221005230	4221005151	Male	Married	40	HS	Category 2	White
3111000090	3111000061	Male	Married	26	NHS	Category 2	Hispanic
2321003720	2321002251	Male	Married	23	PHS	Category 2	White
4321016740	4321005061	Male	Married	43	PHS	Category 2	White
4321016480	4321019551	Male	Married	38	PHS	Category 3	White
4341000120	4341001231	Male	Married	42	PHS	Category 2	Other
4221005660	4221005981	Male	Married	42	HS	Category 3	White
4331000890	4331001281	Male	Married	43	PHS	Category 4	Black
4221007680	4221000841	Male	Married	42	HS	Category 4	White
4221007000	4221006901	Male	Married	40	HS	Category 2	White
4221001070	4221005561	Male	Married	43	HS	Category 2	White
2321003650	2321005211	Male	Married	22	PHS	Category 3	White
3321003790	3321003911	Male	Married	27	PHS	Category 3	White
4321005600	4321017841	Male	Married	30	PHS	Category 2	White
2321003550	2321004961	Male	Married	22	PHS	Category 3	White
4321001440	4321008901	Male	Married	41	PHS	Category 3	White
4110000030	4110000351	Male	Married	30	NHS	Category 1	Hispanic
4310000820	4310000041	Male	Married	41	PHS	Category 1	Hispanic
2321003450	2321003571	Male	Married	22	PHS	Category 3	White
4321016680	4321019341	Male	Married	35	PHS	Category 2	White
4221004930	4221003201	Male	Married	33	HS	Category 2	White
2321003020	2321002991	Male	Married	24	PHS	Category 4	White
4120001150	4220002491	Male	Married	32	NHS	Category 1	White
4121000650	4121001051	Male	Married	43	NHS	Category 2	White
4341000870	4341000161	Male	Married	42	PHS	Category 2	Other
3221002000	3221000341	Male	Married	28	HS	Category 2	White
4210001080	4210000581	Male	Married	32	HS	Category 1	Hispanic
4341000090	4341001031	Male	Married	41	PHS	Category 3	Other
4221000590	4221003831	Male	Married	38	HS	Category 2	White
4211000030	4211000221	Male	Married	32	HS	Category 4	Hispanic
2231000240	2231000491	Male	Married	22	HS	Category 2	Black
4320000710	4320001421	Male	Married	34	PHS	Category 1	White
4221006160	4221000531	Male	Married	44	HS	Category 4	White
4210000380	4210000531	Male	Married	41	HS	Category 1	Hispanic
4321015580	4321003541	Male	Married	32	PHS	Category 2	White
3341000190	3341000281	Male	Married	28	PHS	Category 4	Other
4320000830	4320002061	Male	Married	34	PHS	Category 1	White
4221003810	4221008211	Male	Married	42	HS	Category 2	White
4321003690	4321006971	Male	Married	42	PHS	Category 2	White
4321019890	4321001771	Male	Married	38	PHS	Category 2	White
4321007700	4321006031	Male	Married	41	PHS	Category 2	White
2110000220	2110000521	Male	Married	22	NHS	Category 1	Hispanic
4321001020	4321004961	Male	Married	40	PHS	Category 3	White
4321012020	4321019261	Male	Married	39	PHS	Category 3	White
4221002690	4321007031	Male	Married	34	HS	Category 2	White
4221002880	4321009821	Male	Married	42	HS	Category 2	White
4321017220	4321019031	Male	Married	43	PHS	Category 3	White
4121000180	4321006061	Male	Married	40	NHS	Category 2	White
3331000580	3330000061	Male	Married	27	PHS	Category 2	Black
4221008090	4221003901	Male	Married	32	HS	Category 4	White
4331001220	4331000771	Male	Married	33	PHS	Category 2	Black
3210000040	3210000021	Male	Married	28	HS	Category 1	Hispanic
4321013840	4321011241	Male	Married	41	PHS	Category 4	White
4221003560	4321001661	Male	Married	31	HS	Category 2	White
4320000480	4320000251	Male	Married	42	PHS	Category 1	White
4121001060	4321008381	Male	Married	42	NHS	Category 2	White
4321005110	4321014181	Male	Married	31	PHS	Category 4	White
4321007390	4321018791	Male	Married	40	PHS	Category 2	White
