ID	SpouseID	Gender	MaritalStatus	AgeInYears	Education	SES	Race
1122000060	2124000021	Male	Married	17	HS	Category 2	White
3032000020	4032000041	Male	Married	27	PHS	Category 1	White
4113000010	4132000441	Male	Married	37	NHS	Category 2	Black
3122000030	3122000071	Male	Married	27	HS	Category 3	White
4013000020	4031000031	Male	Married	37	NHS	Category 1	Black
4132000460	4132000171	Male	Married	37	PHS	Category 2	White
4113000020	4111000021	Male	Married	37	NHS	Category 2	Black
4122000190	4122000281	Male	Married	37	HS	Category 3	White
2011000030	4011000051	Male	Married	22	NHS	Category 1	Hispanic
4132000480	4132000751	Male	Married	37	PHS	Category 4	White
4122000410	4022000021	Male	Married	37	HS	Category 2	White
2122000080	2122000111	Male	Married	22	HS	Category 2	White
4122000070	4122000231	Male	Married	37	HS	Category 2	White
4122000290	4022000211	Male	Married	37	HS	Category 2	White
2132000140	2132000091	Male	Married	22	PHS	Category 3	White
2122000020	2122000071	Male	Married	22	HS	Category 4	White
3132000200	3132000011	Male	Married	27	PHS	Category 2	White
4132000220	4132000491	Male	Married	37	PHS	Category 2	White
4021000020	4021000031	Male	Married	37	HS	Category 1	Hispanic
4133000100	4133000021	Male	Married	37	PHS	Category 2	Black
4132000420	4132000141	Male	Married	37	PHS	Category 2	White
4011000040	4011000111	Male	Married	37	NHS	Category 1	Hispanic
3013000020	3034000011	Male	Married	27	NHS	Category 1	Black
4011000010	4011000091	Male	Married	37	NHS	Category 1	Hispanic
2132000300	2132000171	Male	Married	22	PHS	Category 3	White
4132000690	4132000501	Male	Married	37	PHS	Category 4	White
2122000060	2122000121	Male	Married	22	HS	Category 2	White
4132000330	4132000291	Male	Married	37	PHS	Category 4	White
4133000110	4131000041	Male	Married	37	PHS	Category 2	Black
4111000010	4111000041	Male	Married	37	NHS	Category 2	Hispanic
4132000710	4132000041	Male	Married	37	PHS	Category 3	White
2132000080	2132000121	Male	Married	22	PHS	Category 3	White
3132000150	3132000171	Male	Married	27	PHS	Category 3	White
4132000090	4132000381	Male	Married	37	PHS	Category 3	White
4133000010	4133000071	Male	Married	37	PHS	Category 4	Black
3122000020	3122000041	Male	Married	27	HS	Category 2	White
4034000020	4034000031	Male	Married	37	PHS	Category 1	Other
4123000060	4123000051	Male	Married	37	HS	Category 2	Black
3012000020	3012000011	Male	Married	27	NHS	Category 1	White
4122000250	4122000381	Male	Married	37	HS	Category 2	White
4012000020	4012000041	Male	Married	37	NHS	Category 1	White
4122000180	4122000221	Male	Married	37	HS	Category 2	White
4134000020	3134000021	Male	Married	37	PHS	Category 2	Other
4132000150	4132000361	Male	Married	37	PHS	Category 2	White
3022000010	4022000081	Male	Married	27	HS	Category 1	White
2011000040	4011000071	Male	Married	22	NHS	Category 1	Hispanic
4132000560	4132000531	Male	Married	37	PHS	Category 3	White
4122000360	4022000101	Male	Married	37	HS	Category 4	White
4122000340	4132000581	Male	Married	37	HS	Category 2	White
4022000190	4022000061	Male	Married	37	HS	Category 1	White
4132000030	4132000341	Male	Married	37	PHS	Category 3	White
4123000030	4121000021	Male	Married	37	HS	Category 2	Black
4122000040	4122000241	Male	Married	37	HS	Category 4	White
4122000110	4122000461	Male	Married	37	HS	Category 2	White
4022000070	4022000131	Male	Married	37	HS	Category 1	White
2011000020	2021000021	Male	Married	22	NHS	Category 1	Hispanic
4013000010	4021000061	Male	Married	37	NHS	Category 1	Black
4132000650	4132000511	Male	Married	37	PHS	Category 2	White
2011000010	2011000051	Male	Married	22	NHS	Category 1	Hispanic
3132000090	3132000191	Male	Married	27	PHS	Category 3	White
4122000450	4122000421	Male	Married	37	HS	Category 2	White
4123000020	4121000011	Male	Married	37	HS	Category 2	Black
4032000080	4032000011	Male	Married	37	PHS	Category 1	White
3132000260	3132000051	Male	Married	27	PHS	Category 2	White
4132000640	4132000211	Male	Married	37	PHS	Category 2	White
4122000350	4122000301	Male	Married	37	HS	Category 4	White
4132000110	4132000801	Male	Married	37	PHS	Category 2	White
4132000400	4132000701	Male	Married	37	PHS	Category 2	White
4122000030	4122000201	Male	Married	37	HS	Category 2	White
4132000240	4132000051	Male	Married	37	PHS	Category 3	White
4133000040	3133000031	Male	Married	37	PHS	Category 3	Black
4122000260	4122000391	Male	Married	37	HS	Category 2	White
4132000300	4132000411	Male	Married	37	PHS	Category 4	White
4132000230	4132000191	Male	Married	37	PHS	Category 2	White
4034000010	4034000051	Male	Married	37	PHS	Category 1	Other
4133000050	4133000081	Male	Married	37	PHS	Category 2	Black
4122000470	4132000131	Male	Married	37	HS	Category 2	White
4112000020	4112000051	Male	Married	37	NHS	Category 2	White
