ID	SpouseID	Gender	MaritalStatus	AgeInYears	Education	SES	Race
1	0	Male	Single	29	PHS	Category 3	White
2	0	Male	Single	20	HS	Category 4	White
3	0	Male	Single	22	PHS	Category 3	White
4	0	Male	Single	39	NHS	Category 1	Hispanic
5	0	Male	Single	43	PHS	Category 2	White
6	0	Male	Single	36	HS	Category 1	White
7	0	Male	Single	33	HS	Category 1	Hispanic
8	0	Male	Single	17	NHS	Category 4	Black
9	0	Male	Single	22	PHS	Category 3	White
10	0	Male	Single	26	NHS	Category 1	Black
11	0	Male	Single	41	PHS	Category 3	White
12	0	Male	Single	16	NHS	Category 4	White
13	0	Male	Single	29	NHS	Category 1	Hispanic
14	0	Male	Single	15	NHS	Category 3	White
15	0	Male	Single	21	HS	Category 3	Hispanic
16	0	Male	Single	16	NHS	Category 4	White
17	0	Male	Single	16	NHS	Category 2	White
18	0	Male	Single	32	PHS	Category 1	Hispanic
19	0	Male	Single	21	HS	Category 3	White
20	0	Male	Single	20	HS	Category 4	Hispanic
21	0	Male	Single	23	NHS	Category 1	Hispanic
22	0	Male	Single	38	HS	Category 1	White
23	0	Male	Single	26	NHS	Category 1	White
24	0	Male	Single	37	PHS	Category 3	White
25	0	Male	Single	17	NHS	Category 4	White
26	0	Male	Single	18	NHS	Category 1	Hispanic
27	0	Male	Single	43	NHS	Category 1	Black
28	0	Male	Single	20	HS	Category 2	White
29	0	Male	Single	20	PHS	Category 2	Black
30	0	Male	Single	23	HS	Category 2	White
31	0	Male	Single	16	NHS	Category 3	White
32	0	Male	Single	34	PHS	Category 4	White
33	0	Male	Single	22	NHS	Category 1	Hispanic
34	0	Male	Single	23	PHS	Category 2	White
35	0	Male	Single	23	PHS	Category 4	Black
36	0	Male	Single	16	NHS	Category 3	Black
37	0	Male	Single	27	PHS	Category 3	White
38	0	Male	Single	23	HS	Category 3	Black
39	0	Male	Single	16	NHS	Category 2	White
40	0	Male	Single	19	NHS	Category 1	Hispanic
41	0	Male	Single	32	NHS	Category 1	White
42	0	Male	Single	36	HS	Category 3	White
43	0	Male	Single	21	PHS	Category 3	White
44	0	Male	Single	42	PHS	Category 2	White
45	0	Male	Single	20	HS	Category 2	White
46	0	Male	Single	22	PHS	Category 4	Other
47	0	Male	Single	17	NHS	Category 4	White
48	0	Male	Single	21	PHS	Category 3	Black
49	0	Male	Single	23	PHS	Category 4	White
50	0	Male	Single	31	PHS	Category 4	White
51	0	Male	Single	44	PHS	Category 2	White
52	0	Male	Single	16	NHS	Category 2	White
53	0	Male	Single	26	PHS	Category 4	White
54	0	Male	Single	44	PHS	Category 4	White
55	0	Male	Single	39	PHS	Category 2	Other
56	0	Male	Single	39	PHS	Category 2	Black
57	0	Male	Single	21	NHS	Category 1	Hispanic
58	0	Male	Single	39	HS	Category 1	White
59	0	Male	Single	20	PHS	Category 4	Black
60	0	Male	Single	16	NHS	Category 3	White
61	0	Male	Single	26	PHS	Category 3	White
62	0	Male	Single	28	PHS	Category 2	Black
63	0	Male	Single	18	HS	Category 3	White
64	0	Male	Single	40	PHS	Category 1	Black
65	0	Male	Single	23	PHS	Category 3	White
66	0	Male	Single	24	HS	Category 2	White
67	0	Male	Single	37	PHS	Category 3	White
68	0	Male	Single	18	HS	Category 4	White
69	0	Male	Single	43	PHS	Category 4	Other
70	0	Male	Single	22	HS	Category 2	White
71	0	Male	Single	25	PHS	Category 4	Black
72	0	Male	Single	20	NHS	Category 2	White
73	0	Male	Single	31	PHS	Category 1	Other
74	0	Male	Single	24	PHS	Category 4	White
75	0	Male	Single	18	HS	Category 4	White
76	0	Male	Single	20	PHS	Category 4	Other
77	0	Male	Single	19	HS	Category 2	White
78	0	Male	Single	30	PHS	Category 1	Hispanic
79	0	Male	Single	32	PHS	Category 4	White
80	0	Male	Single	26	PHS	Category 3	Other
81	0	Male	Single	31	NHS	Category 3	White
82	0	Male	Single	28	NHS	Category 1	Black
83	0	Male	Single	29	PHS	Category 2	White
84	0	Male	Single	17	NHS	Category 2	Black
85	0	Male	Single	31	NHS	Category 1	Hispanic
86	0	Male	Single	23	PHS	Category 3	White
87	0	Male	Single	28	PHS	Category 4	Other
88	0	Male	Single	29	PHS	Category 4	White
89	0	Male	Single	33	HS	Category 1	Black
90	0	Male	Single	19	NHS	Category 1	Hispanic
91	0	Male	Single	22	PHS	Category 4	Other
92	0	Male	Single	15	NHS	Category 4	White
93	0	Male	Single	25	HS	Category 2	White
94	0	Male	Single	19	HS	Category 4	White
95	0	Male	Single	17	NHS	Category 1	White
96	0	Male	Single	26	PHS	Category 4	White
97	0	Male	Single	44	PHS	Category 1	Black
98	0	Male	Single	33	NHS	Category 1	Hispanic
99	0	Male	Single	37	HS	Category 2	White
100	0	Male	Single	19	PHS	Category 3	White
101	0	Male	Single	19	HS	Category 2	White
102	0	Male	Single	39	HS	Category 1	Hispanic
103	0	Male	Single	31	PHS	Category 2	Black
104	0	Male	Single	16	NHS	Category 3	White
105	0	Male	Single	29	HS	Category 2	Other
106	0	Male	Single	20	PHS	Category 2	White
107	0	Male	Single	28	HS	Category 1	Hispanic
108	0	Male	Single	39	HS	Category 1	Black
109	0	Male	Single	27	HS	Category 2	White
110	0	Male	Single	39	HS	Category 1	Hispanic
111	0	Male	Single	15	NHS	Category 4	White
112	0	Male	Single	17	NHS	Category 4	White
113	0	Male	Single	38	PHS	Category 4	White
114	0	Male	Single	27	PHS	Category 2	Hispanic
115	0	Male	Single	27	HS	Category 2	Black
116	0	Male	Single	27	PHS	Category 3	White
117	0	Male	Single	20	NHS	Category 1	Hispanic
118	0	Male	Single	20	NHS	Category 1	Hispanic
119	0	Male	Single	18	NHS	Category 3	Black
120	0	Male	Single	40	PHS	Category 2	White
121	0	Male	Single	17	NHS	Category 3	Black
122	0	Male	Single	19	HS	Category 2	White
123	0	Male	Single	38	NHS	Category 2	White
124	0	Male	Single	41	HS	Category 4	White
125	0	Male	Single	22	PHS	Category 2	Hispanic
126	0	Male	Single	43	PHS	Category 4	White
127	0	Male	Single	24	PHS	Category 4	Other
128	0	Male	Single	41	HS	Category 3	White
129	0	Male	Single	28	PHS	Category 2	White
130	0	Male	Single	15	NHS	Category 2	White
131	0	Male	Single	17	NHS	Category 2	White
132	0	Male	Single	19	HS	Category 3	Hispanic
133	0	Male	Single	16	NHS	Category 2	White
134	0	Male	Single	21	PHS	Category 4	White
135	0	Male	Single	21	HS	Category 3	Black
136	0	Male	Single	43	PHS	Category 4	White
137	0	Male	Single	26	NHS	Category 1	White
138	0	Male	Single	29	HS	Category 2	Hispanic
139	0	Male	Single	32	PHS	Category 4	Black
140	0	Male	Single	18	HS	Category 3	White
141	0	Male	Single	23	NHS	Category 1	Hispanic
142	0	Male	Single	15	NHS	Category 4	White
143	0	Male	Single	16	NHS	Category 4	White
144	0	Male	Single	25	PHS	Category 3	White
145	0	Male	Single	43	PHS	Category 1	Black
146	0	Male	Single	22	PHS	Category 2	White
147	0	Male	Single	34	NHS	Category 2	Black
148	0	Male	Single	26	NHS	Category 1	White
149	0	Male	Single	34	HS	Category 1	Black
150	0	Male	Single	35	HS	Category 2	White
151	0	Male	Single	29	HS	Category 2	White
152	0	Male	Single	41	HS	Category 2	White
153	0	Male	Single	43	HS	Category 1	White
154	0	Male	Single	16	NHS	Category 2	White
155	0	Male	Single	18	NHS	Category 2	White
156	0	Male	Single	19	NHS	Category 2	White
157	0	Male	Single	26	PHS	Category 3	White
158	0	Male	Single	19	HS	Category 4	White
159	0	Male	Single	22	PHS	Category 3	Black
160	0	Male	Single	16	NHS	Category 2	White
161	0	Male	Single	36	HS	Category 2	White
162	0	Male	Single	43	PHS	Category 3	White
163	0	Male	Single	26	HS	Category 4	White
164	0	Male	Single	40	PHS	Category 2	White
165	0	Male	Single	22	PHS	Category 2	White
166	0	Male	Single	25	HS	Category 3	White
167	0	Male	Single	17	NHS	Category 4	White
168	0	Male	Single	15	NHS	Category 3	Hispanic
169	0	Male	Single	25	PHS	Category 3	White
170	0	Male	Single	22	PHS	Category 2	White
171	0	Male	Single	27	PHS	Category 3	White
172	0	Male	Single	23	PHS	Category 4	White
173	0	Male	Single	34	PHS	Category 4	White
174	0	Male	Single	16	NHS	Category 3	Black
175	0	Male	Single	20	HS	Category 2	Black
176	0	Male	Single	24	PHS	Category 4	Black
177	0	Male	Single	24	PHS	Category 3	White
178	0	Male	Single	41	PHS	Category 2	White
179	0	Male	Single	29	NHS	Category 1	Hispanic
180	0	Male	Single	43	PHS	Category 2	White
181	0	Male	Single	24	PHS	Category 4	Hispanic
182	0	Male	Single	37	HS	Category 2	White
183	0	Male	Single	41	HS	Category 2	White
184	0	Male	Single	44	PHS	Category 3	White
185	0	Male	Single	15	NHS	Category 3	White
186	0	Male	Single	28	PHS	Category 4	White
187	0	Male	Single	30	NHS	Category 1	Hispanic
188	0	Male	Single	21	PHS	Category 4	Black
189	0	Male	Single	23	NHS	Category 1	White
190	0	Male	Single	37	NHS	Category 4	White
191	0	Male	Single	19	HS	Category 3	White
192	0	Male	Single	43	PHS	Category 1	White
193	0	Male	Single	27	PHS	Category 1	Black
194	0	Male	Single	19	PHS	Category 4	White
195	0	Male	Single	21	HS	Category 2	Other
196	0	Male	Single	22	NHS	Category 1	Black
197	0	Male	Single	29	HS	Category 2	Black
198	0	Male	Single	31	HS	Category 3	White
199	0	Male	Single	25	PHS	Category 2	White
200	0	Male	Single	37	HS	Category 2	White
201	0	Male	Single	21	PHS	Category 4	White
202	0	Male	Single	18	NHS	Category 4	White
203	0	Male	Single	23	NHS	Category 1	Hispanic
204	0	Male	Single	30	HS	Category 3	White
205	0	Male	Single	27	PHS	Category 2	Black
206	0	Male	Single	44	HS	Category 2	Black
207	0	Male	Single	26	NHS	Category 1	Hispanic
208	0	Male	Single	22	PHS	Category 3	White
209	0	Male	Single	19	NHS	Category 2	Other
210	0	Male	Single	38	PHS	Category 2	White
211	0	Male	Single	21	HS	Category 3	White
212	0	Male	Single	19	HS	Category 2	White
213	0	Male	Single	17	NHS	Category 1	Hispanic
214	0	Male	Single	22	NHS	Category 2	Black
215	0	Male	Single	17	NHS	Category 1	Hispanic
216	0	Male	Single	36	PHS	Category 1	Hispanic
217	0	Male	Single	32	PHS	Category 2	White
218	0	Male	Single	26	HS	Category 2	White
219	0	Male	Single	39	HS	Category 3	White
220	0	Male	Single	44	PHS	Category 3	White
221	0	Male	Single	27	HS	Category 3	Hispanic
222	0	Male	Single	28	PHS	Category 4	White
223	0	Male	Single	33	HS	Category 2	White
224	0	Male	Single	24	PHS	Category 2	White
225	0	Male	Single	32	HS	Category 2	Hispanic
226	0	Male	Single	17	NHS	Category 4	White
227	0	Male	Single	35	PHS	Category 4	White
228	0	Male	Single	28	HS	Category 2	White
229	0	Male	Single	19	HS	Category 2	Hispanic
230	0	Male	Single	36	HS	Category 3	White
231	0	Male	Single	16	NHS	Category 2	Hispanic
232	0	Male	Single	23	HS	Category 3	Other
233	0	Male	Single	15	NHS	Category 1	Other
234	0	Male	Single	44	HS	Category 1	White
235	0	Male	Single	15	NHS	Category 3	White
236	0	Male	Single	22	HS	Category 2	White
237	0	Male	Single	26	HS	Category 1	Black
238	0	Male	Single	15	NHS	Category 3	Other
239	0	Male	Single	31	HS	Category 3	White
240	0	Male	Single	16	NHS	Category 3	White
241	0	Male	Single	23	PHS	Category 3	White
242	0	Male	Single	41	PHS	Category 2	Black
243	0	Male	Single	38	NHS	Category 1	Hispanic
244	0	Male	Single	24	PHS	Category 4	White
245	0	Male	Single	34	HS	Category 1	White
246	0	Male	Single	42	PHS	Category 4	White
247	0	Male	Single	34	PHS	Category 1	Hispanic
248	0	Male	Single	42	NHS	Category 3	White
249	0	Male	Single	15	NHS	Category 2	Hispanic
250	0	Male	Single	22	HS	Category 1	Hispanic
251	0	Male	Single	25	PHS	Category 4	White
252	0	Male	Single	28	PHS	Category 4	Other
253	0	Male	Single	19	NHS	Category 1	Hispanic
254	0	Male	Single	18	NHS	Category 1	Black
255	0	Male	Single	15	NHS	Category 2	White
256	0	Male	Single	34	PHS	Category 2	White
257	0	Male	Single	21	PHS	Category 1	Hispanic
258	0	Male	Single	28	HS	Category 1	White
259	0	Male	Single	17	NHS	Category 4	Other
260	0	Male	Single	40	HS	Category 1	Hispanic
261	0	Male	Single	24	HS	Category 1	Black
262	0	Male	Single	30	PHS	Category 2	Black
263	0	Male	Single	15	NHS	Category 4	White
264	0	Male	Single	19	HS	Category 1	Hispanic
265	0	Male	Single	20	PHS	Category 2	White
266	0	Male	Single	20	PHS	Category 4	Other
267	0	Male	Single	27	HS	Category 2	White
268	0	Male	Single	38	NHS	Category 4	Black
269	0	Male	Single	37	PHS	Category 1	White
270	0	Male	Single	36	PHS	Category 4	White
271	0	Male	Single	40	NHS	Category 2	White
272	0	Male	Single	16	NHS	Category 4	Hispanic
273	0	Male	Single	28	PHS	Category 4	Other
274	0	Male	Single	19	NHS	Category 1	Hispanic
275	0	Male	Single	41	PHS	Category 2	White
276	0	Male	Single	19	NHS	Category 1	White
277	0	Male	Single	20	NHS	Category 1	Hispanic
278	0	Male	Single	27	NHS	Category 2	Black
279	0	Male	Single	16	NHS	Category 3	White
280	0	Male	Single	36	HS	Category 2	Black
281	0	Male	Single	18	HS	Category 4	Black
282	0	Male	Single	21	PHS	Category 4	White
283	0	Male	Single	18	HS	Category 2	White
284	0	Male	Single	21	PHS	Category 4	Black
285	0	Male	Single	16	NHS	Category 1	Black
286	0	Male	Single	34	HS	Category 2	Black
287	0	Male	Single	40	HS	Category 3	White
288	0	Male	Single	33	HS	Category 1	Hispanic
289	0	Male	Single	40	HS	Category 1	White
290	0	Male	Single	27	PHS	Category 3	White
291	0	Male	Single	33	HS	Category 1	White
292	0	Male	Single	21	NHS	Category 1	Other
293	0	Male	Single	23	HS	Category 2	White
294	0	Male	Single	20	HS	Category 2	Hispanic
295	0	Male	Single	40	PHS	Category 4	White
296	0	Male	Single	23	PHS	Category 4	White
297	0	Male	Single	23	HS	Category 3	White
298	0	Male	Single	44	HS	Category 1	White
299	0	Male	Single	23	HS	Category 1	Hispanic
300	0	Male	Single	16	NHS	Category 1	White
301	0	Male	Single	25	PHS	Category 4	White
302	0	Male	Single	18	HS	Category 2	White
303	0	Male	Single	20	PHS	Category 1	White
304	0	Male	Single	41	PHS	Category 2	White
305	0	Male	Single	38	PHS	Category 1	Hispanic
306	0	Male	Single	31	HS	Category 2	White
307	0	Male	Single	19	HS	Category 3	White
308	0	Male	Single	25	HS	Category 2	White
309	0	Male	Single	23	PHS	Category 2	White
310	0	Male	Single	17	NHS	Category 2	White
311	0	Male	Single	40	HS	Category 1	Hispanic
312	0	Male	Single	40	PHS	Category 4	White
313	0	Male	Single	41	HS	Category 2	White
314	0	Male	Single	15	NHS	Category 3	White
315	0	Male	Single	18	NHS	Category 4	Hispanic
316	0	Male	Single	26	PHS	Category 3	White
317	0	Male	Single	22	PHS	Category 4	White
318	0	Male	Single	16	NHS	Category 3	Black
319	0	Male	Single	22	HS	Category 1	Hispanic
320	0	Male	Single	32	PHS	Category 4	White
321	0	Male	Single	31	NHS	Category 1	Hispanic
322	0	Male	Single	22	PHS	Category 3	Black
323	0	Male	Single	37	PHS	Category 3	White
324	0	Male	Single	19	PHS	Category 3	Black
325	0	Male	Single	18	HS	Category 1	Hispanic
326	0	Male	Single	40	PHS	Category 2	White
327	0	Male	Single	20	HS	Category 2	Hispanic
328	0	Male	Single	41	PHS	Category 4	White
329	0	Male	Single	18	NHS	Category 4	White
330	0	Male	Single	44	PHS	Category 2	White
331	0	Male	Single	15	NHS	Category 4	Black
332	0	Male	Single	22	PHS	Category 4	White
333	0	Male	Single	18	NHS	Category 1	Black
334	0	Male	Single	24	NHS	Category 2	White
335	0	Male	Single	29	PHS	Category 2	White
336	0	Male	Single	22	PHS	Category 2	White
337	0	Male	Single	37	PHS	Category 2	Black
338	0	Male	Single	34	PHS	Category 1	Hispanic
339	0	Male	Single	19	PHS	Category 2	White
340	0	Male	Single	44	HS	Category 2	White
341	0	Male	Single	34	HS	Category 1	Black
342	0	Male	Single	24	HS	Category 3	White
343	0	Male	Single	18	NHS	Category 3	White
344	0	Male	Single	25	PHS	Category 1	Hispanic
345	0	Male	Single	16	NHS	Category 3	White
346	0	Male	Single	24	HS	Category 1	Black
347	0	Male	Single	22	HS	Category 3	Black
348	0	Male	Single	19	HS	Category 2	White
349	0	Male	Single	25	PHS	Category 1	White
350	0	Male	Single	29	HS	Category 3	Hispanic
351	0	Male	Single	26	PHS	Category 2	White
352	0	Male	Single	40	NHS	Category 2	White
353	0	Male	Single	17	NHS	Category 1	White
354	0	Male	Single	32	HS	Category 1	Hispanic
355	0	Male	Single	39	HS	Category 2	Black
356	0	Male	Single	24	PHS	Category 3	Black
357	0	Male	Single	29	PHS	Category 3	White
358	0	Male	Single	28	HS	Category 2	Hispanic
359	0	Male	Single	28	NHS	Category 1	Hispanic
360	0	Male	Single	17	NHS	Category 1	White
