ID	SpouseID	Gender	MaritalStatus	AgeInYears	Education	SES	Race
3321003480	0	Male	Single	29	PHS	Category 3	White
2221000940	0	Male	Single	20	HS	Category 4	White
2321001070	0	Male	Single	22	PHS	Category 3	White
4110002330	0	Male	Single	39	NHS	Category 1	Hispanic
4321005650	0	Male	Single	43	PHS	Category 2	White
4220000420	0	Male	Single	36	HS	Category 1	White
4210001100	0	Male	Single	33	HS	Category 1	Hispanic
1131000710	0	Male	Single	17	NHS	Category 4	Black
2321005590	0	Male	Single	22	PHS	Category 3	White
3130000020	0	Male	Single	26	NHS	Category 1	Black
4321008920	0	Male	Single	41	PHS	Category 3	White
1121006100	0	Male	Single	16	NHS	Category 4	White
3110000230	0	Male	Single	29	NHS	Category 1	Hispanic
1121004970	0	Male	Single	15	NHS	Category 3	White
2211000430	0	Male	Single	21	HS	Category 3	Hispanic
1121003050	0	Male	Single	16	NHS	Category 4	White
1121003940	0	Male	Single	16	NHS	Category 2	White
4310000170	0	Male	Single	32	PHS	Category 1	Hispanic
2221000740	0	Male	Single	21	HS	Category 3	White
2211000060	0	Male	Single	20	HS	Category 4	Hispanic
2110000740	0	Male	Single	23	NHS	Category 1	Hispanic
4220001610	0	Male	Single	38	HS	Category 1	White
3120000200	0	Male	Single	26	NHS	Category 1	White
4321006580	0	Male	Single	37	PHS	Category 3	White
1121006190	0	Male	Single	17	NHS	Category 4	White
1110000750	0	Male	Single	18	NHS	Category 1	Hispanic
4130000400	0	Male	Single	43	NHS	Category 1	Black
2221000060	0	Male	Single	20	HS	Category 2	White
2331000100	0	Male	Single	20	PHS	Category 2	Black
2221002140	0	Male	Single	23	HS	Category 2	White
1121002280	0	Male	Single	16	NHS	Category 3	White
4321016220	0	Male	Single	34	PHS	Category 4	White
2110000060	0	Male	Single	22	NHS	Category 1	Hispanic
2321000050	0	Male	Single	23	PHS	Category 2	White
2331000410	0	Male	Single	23	PHS	Category 4	Black
1131000990	0	Male	Single	16	NHS	Category 3	Black
3321003840	0	Male	Single	27	PHS	Category 3	White
2231000530	0	Male	Single	23	HS	Category 3	Black
1121001500	0	Male	Single	16	NHS	Category 2	White
1110000660	0	Male	Single	19	NHS	Category 1	Hispanic
4120000440	0	Male	Single	32	NHS	Category 1	White
4221007980	0	Male	Single	36	HS	Category 3	White
2321000990	0	Male	Single	21	PHS	Category 3	White
4321007480	0	Male	Single	42	PHS	Category 2	White
2221000730	0	Male	Single	20	HS	Category 2	White
2341000350	0	Male	Single	22	PHS	Category 4	Other
1121000400	0	Male	Single	17	NHS	Category 4	White
2331000540	0	Male	Single	21	PHS	Category 3	Black
2321001640	0	Male	Single	23	PHS	Category 4	White
4321003730	0	Male	Single	31	PHS	Category 4	White
4321005160	0	Male	Single	44	PHS	Category 2	White
1121005730	0	Male	Single	16	NHS	Category 2	White
3321004380	0	Male	Single	26	PHS	Category 4	White
4321001850	0	Male	Single	44	PHS	Category 4	White
4341000540	0	Male	Single	39	PHS	Category 2	Other
4331002080	0	Male	Single	39	PHS	Category 2	Black
2110000280	0	Male	Single	21	NHS	Category 1	Hispanic
4220000670	0	Male	Single	39	HS	Category 1	White
2331000530	0	Male	Single	20	PHS	Category 4	Black
1121003100	0	Male	Single	16	NHS	Category 3	White
3321000330	0	Male	Single	26	PHS	Category 3	White
3331000650	0	Male	Single	28	PHS	Category 2	Black
1221002120	0	Male	Single	18	HS	Category 3	White
4330000030	0	Male	Single	40	PHS	Category 1	Black
2321000310	0	Male	Single	23	PHS	Category 3	White
2221000960	0	Male	Single	24	HS	Category 2	White
4321003430	0	Male	Single	37	PHS	Category 3	White
1221000080	0	Male	Single	18	HS	Category 4	White
4341000930	0	Male	Single	43	PHS	Category 4	Other
