Run	Period	ID	PDivorce	PEnd Relationship	PMarriage	PRelationship Initial	PSex	PSex Initial	Abortionsin Lifetime	Agein Years	Agein Years Index	Agent Size	Available	Birthsin Lifetime	Dayin Cycle	Dayof Last Sex	Daysin Current Relationship	Female Code	In Relationship	Male Code	Married Code	Miscarriagesin Lifetime	Name	Poor Birthsin Lifetime	Pregnanciesin Lifetime	Projected Dayof Abortion	Projected Dayof Birth	Projected Dayof Miscarriage	Ratio Pregnanciesto Sex Events	Rhythm Method User	Sex Countin Lifetime	Sex Countin Relationship	Sex Partnersin Lifetime	Spouse ID	Sterilization Choices	Unmarried Code	SES	Age Group	Coital Behavior Type	Contraception Method	Education	Gender	Marital Status	Partner Contraception Method	Pregnancy Status	Race	
1	1365	1941	0.0	0.006449914899208955	0.0	0.8355957438800935	0.0349818866038728	0.0349818866038728	0	21	6	5	false	0	23	1356	59	0	true	1	0	0	Adult 0	0	0	0	0	0	0.0	false	37	3	11	0	0	1	Category 4	20 to 24	Very Low Frequency	Condom Medium Intender	PHS	Male	Single	Other Contraception	Not Pregnant	Other	
1	1365	2236	0.0	0.02294369252887117	0.0	0.5636261623644662	1.0	1.0	0	21	6	5	false	0	21	1365	43	0	true	1	0	0	Adult 1	0	0	0	0	0	0.0	false	544	44	40	0	0	1	Category 4	20 to 24	Moderate Frequency	Condom High Intender	PHS	Male	Single	Other Contraception	Not Pregnant	White	
1	1365	7196	0.0	0.02141917495757035	0.0	0.5257970075100586	1.0	1.0	0	41	26	5	false	0	9	1336	70	0	true	1	0	0	Adult 2	0	0	0	0	0	0.0	false	235	6	21	0	0	1	Category 3	30 to 44	Moderate Frequency	Sterilized	PHS	Male	Single	Other Contraception	Not Pregnant	White	
1	1365	2287	0.0	0.0066228444544582914	0.0	0.906534820158664	1.0	1.0	0	21	6	5	false	0	25	1365	14	0	true	1	0	0	Adult 3	0	0	0	0	0	0.0	false	1315	15	39	0	0	1	Category 4	20 to 24	Moderate Frequency	None	PHS	Male	Single	Other Contraception	Not Pregnant	White	
1	1365	8963	0.0	0.004871514427444019	0.0	0.5154165283225516	1.0	1.0	0	35	20	5	false	0	23	1282	0	0	false	1	0	0	Adult 4	0	0	0	0	0	0.0	false	1139	0	31	0	0	1	Category 1	30 to 44	High Frequency	None	HS	Male	Single	Other Contraception	Not Pregnant	White	
1	1365	5923	0.0	0.0042779766656730975	0.0	0.9732966656263018	0.042792882705899704	0.042792882705899704	0	30	15	5	false	0	6	1254	20	0	true	1	0	0	Adult 5	0	0	0	0	0	0.0	false	27	0	17	0	0	1	Category 1	30 to 44	Very Low Frequency	None	PHS	Male	Single	Other Contraception	Not Pregnant	Hispanic	
1	1365	3459	0.0	0.01214817499037058	0.0	0.6137049906676177	0.035730929693787404	0.035730929693787404	0	25	10	5	false	0	22	1351	87	0	true	1	0	0	Adult 6	0	0	0	0	0	0.0	false	37	4	16	0	0	1	Category 4	25 to 29	Very Low Frequency	None	PHS	Male	Single	Other Contraception	Not Pregnant	Other	
1	1365	1901	0.0	0.007843544533976895	0.0	0.680257173741653	0.058956823552932656	0.058956823552932656	0	22	7	5	false	0	17	1364	0	0	true	1	0	0	Adult 7	0	0	0	0	0	0.0	false	74	0	19	0	0	1	Category 1	20 to 24	Very Low Frequency	None	PHS	Male	Single	Other Contraception	Not Pregnant	Other	
1	1365	562	0.0	0.022707600477872368	0.0	0.875440359298781	0.04765850686890329	0.04765850686890329	0	17	2	5	false	0	13	1273	32	0	true	1	0	0	Adult 8	0	0	0	0	0	0.0	false	38	0	22	0	0	1	Category 3	15 to 19	Very Low Frequency	Condom High Intender	NHS	Male	Single	Other Contraception	Not Pregnant	White	
1	1365	3940	0.0	0.01677785769250568	0.0	0.9142774527102215	0.03435225656495644	0.03435225656495644	0	27	12	5	false	0	22	1303	37	0	true	1	0	0	Adult 9	0	0	0	0	0	0.0	false	8	0	6	0	0	1	Category 2	25 to 29	Very Low Frequency	Condom Medium Intender	PHS	Male	Single	Other Contraception	Not Pregnant	White	
